Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
0,CD-GraB (WT2),"A. Feder Cooper, Wentao Guo, Khiem Pham, Tiancheng Yuan, Charlie F. Ruan, Yucheng Lu, Christopher De Sa",2023/02/02,2023,CD-GraB: Coordinating Distributed Example Orders for Provably Accelerated Training,0.0,0.0,https://arxiv.org/pdf/2302.00845.pdf,UNK,,,50,,,0.0,2080000.0,#VALUE!,,2080000.0,WikiText-2,,223.44,,0.0,0.0,0,0,Recurrent,LSTM,,,,,0,GPT2Tokenizer,50257,"Architecture: 2-layer LSTM (used in one experiment; others use MLP and Logistic Regression); Optimizer: SGD with momentum (except GPT2 experiment uses AdamW); LR Schedule: Linear decay learning rate scheduler (some experiments also use decay by 0.1 per 10 epochs); Training: Gradient balancing using PairBalance, Parallel herding, Parameter averaging; Regularization: Weight decay, Dropout = 0 (in one experiment); otherwise unspecified; Special Algorithms: CD-GraB: Coordinated Distributed Gradient Balancing for example ordering, Online PairBalance for improved balancing; Other: Permutation-based example ordering",4.0,3.0,0.0,4.0,3.0,1.0,3.0,3.0,6.0,4.0
1,SRU++ Large,Tao Lei,2021/02/24,2021,When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute,35.0,,https://arxiv.org/abs/2102.12459,2.34E+08,,1.1e+19,34.08,,,0.0,103000000.0,4.93E+18,0.0,103000000.0,WikiText-103,17.1,,,0.0,1.0,0,0,Recurrent,SRU,https://github.com/asappresearch/sru,,,,1,,260000,"Architecture: SRU++ with single-head attention in each layer. Experiments conducted with attention enabled every k layers, also with 10 layers in total. SRU++ can also include a projection to reduce the number of parameters.; Optimizer: RAdam with default beta values; LR Schedule: Cosine learning rate schedule following Dai et al. (2019); Training: Automatic Mixed Precision (AMP) training, Distributed Data Parallel (DDP); Attention: Single-head scaled dot-product attention; Regularization: Fixed weight decay of 0.1, Dropout with probability tuned on the dev set; Initialization: Residual connection weight alpha is initialized to zero, allowing recurrence to capture sequential patterns during early training.",8.0,5.0,5.0,7.0,6.0,6.0,4.0,5.0,6.0,5.0
2,SRU++ Large only 2 attention layers (k=5),Tao Lei,2021/02/24,2021,When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute,35.0,,https://arxiv.org/abs/2102.12459,2.25E+08,,8e+18,34.08,,,0.0,103000000.0,4.74E+18,0.0,103000000.0,WikiText-103,17.3,,,0.0,1.0,0,0,Recurrent,SRU,https://github.com/asappresearch/sru,,,,1,,260000,"Architecture: SRU++ with fast recurrence and single-head attention, 10 layers of SRU++; Optimizer: RAdam with default beta values; LR Schedule: Cosine learning rate schedule; Training: Automatic mixed precision (AMP) training, Distributed data parallel (DDP); Attention: Single-head attention; Regularization: Weight decay 0.1, Dropout (tuned); Initialization: Learned scalar alpha for residual connection initialized to zero; Other: Post-layer normalization after attention operation and before matrix multiplication with W°, Skip attention (attention every k layers), Tying the weight matrices of the adaptive embedding layer and adaptive softmax layer",8.0,6.0,3.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0
3,Alleviated TOI 10 (WT103),"Noémien Kocher, Christian Scuito, Lorenzo Tarantino, Alexandros Lazaridis, Andreas Fischer, Claudiu Musat",2019/09/18,2019,Alleviating Sequence Information Loss with Data Overlapping and Prime Batch Sizes,0.0,1.0,https://arxiv.org/abs/1909.08700,UNK,,,1000,,,1.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,32.85,,,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/nkcr/overlap-ml,,,,0,?,?,"Architecture: LSTM, AWD-LSTM, Transformer, Mixture of Softmaxes (MoS); Optimizer: SGD; LR Schedule: Not explicitly mentioned; Attention: Encoder of Transformer used with convolutional layers for speech emotion recognition; Regularization: Weight-Dropped LSTM (AWD-LSTM); Special Algorithms: Alleviated TOI (Token Order Imbalance); Initialization: Not mentioned",,,,,,,,,,
4,GPT2-LayerFusion-WS,"James O' Neill, Greg Ver Steeg, Aram Galstyan",2020/07/29,2020,Compressing Deep Neural Networks via Layer Fusion,5.0,,https://arxiv.org/pdf/2007.14917,,,,,,,0.0,103000000.0,,2080000.0,105000000.0,,,13.71,,0.0,0.0,0,0,Transformer,GPT,,,,,0,?,?,"Architecture: Transformer (GPT based); Optimizer: Not explicitly stated, assumed to be Adam or similar commonly used with Transformers; LR Schedule: Exponential curriculum schedule (allocate more compression earlier in retraining but more retraining steps later); Training: Layer Fusion (freezing, averaging, mixing); Attention: Multi-head attention (inferred from Transformer architecture); Special Algorithms: Layer Fusion (LF) using Wasserstein Distance, Covariance Alignment, Euclidean Distance, KL Divergence; Initialization: Pretrained",6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,7.0,6.0
5,TransfoRNN(d=1024)(2-layer) (WT2),"Tze Yuang Chong, Xuyang Wang, Lin Yang, Junjie Wang",2021/04/04,2021,TransfoRNN: Capturing the Sequential Information in Self-Attention Representations for Language Modeling,0.0,0.0,https://arxiv.org/pdf/2104.01572,9.76E+07,,,,,,0.0,2080000.0,0.00E+00,,2080000.0,,,94.8,,0.0,0.0,0,1,Transformer/RNN,TransfoRNN,,,,,1,Own,33000,"Architecture: TransfoRNN: Transformer layers cascaded with Recurrent Neural Networks (RNNs). The RNNs are implemented as Long Short-Term Memory (LSTM) neural networks.; Optimizer: Stochastic Gradient Descent (SGD) with new-bob learning rate adjustment; LR Schedule: new-bob learning rate adjustment; Attention: Multi-head attention (8 heads); Regularization: layer normalization, residual connection; Initialization: Not mentioned; Other: Positional encoding of the embedding vectors, Input embedding tied to the output embedding",,,,,,,,,,
6,SRU++ Base,Tao Lei,2021/02/24,2021,When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute,35.0,,https://arxiv.org/abs/2102.12459,1.08E+08,,5.8e+18,25.56,,,0.0,103000000.0,1.71E+18,0.0,103000000.0,WikiText-103,18.3,,,0.0,1.0,0,0,Recurrent,SRU,https://github.com/asappresearch/sru,,,,1,,260000,"Architecture: SRU++ architecture with multiple layers, combining fast recurrence (SRU) and attention.  The paper mentions using 10 SRU++ layers for language modeling and 6 SRU++ layers for machine translation experiments. A single-head attention mechanism is used.; Optimizer: RAdam with default beta values (0.9 and 0.999); LR Schedule: Cosine learning rate schedule following Dai et al. (2019), using only 1 cycle for simplicity.; Training: Automatic Mixed Precision (AMP), Distributed Data Parallel (DDP) in Pytorch; Attention: Single-head scaled dot-product attention. Key and value are computed using Q instead of X to reduce parameter size.  The final output U is computed as U = W(Q + a*A) which is a residual connection.; Regularization: Weight decay 0.1 (fixed) or tuned values. Dropout probability tuned according to model size and results on dev set.; Initialization: The scalar 'a' in the residual connection is initialized to zero.; Other: Post-layer normalization after attention operation and before multiplication with W. Attention enabled every k layers, with layers without attention using a dimension projection variant of SRU.",,,,,,,,,,
7,VD-LSTM+REAL Large,"Hakan Inan, Khashayar Khosravi, Richard Socher",2016/11/04,2016,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,397.0,,https://arxiv.org/abs/1611.01462,5.10E+07,,,75,,,0.0,929000.0,2.13E+16,,929000.0,Penn TreeBank,,,68.5,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,,10000,"Architecture: 2-layer LSTM; Optimizer: Stochastic gradient descent; LR Schedule: Starts with a learning rate of 1 and decays with a constant rate after a certain epoch. Decay rate is 0.9 or 0.97 depending on the network size.; Training: Dropout, Gradient clipping; Attention: Not applicable; Regularization: Variational Dropout, Weight decay (not used in a specific set of experiments to validate a theoretical result); Special Algorithms: Loss augmentation with KL-divergence between the model's prediction and an estimated target distribution based on word embeddings., Tying the input word embedding matrix to the output classification matrix; Initialization: Not mentioned; Other: Temperature parameter used in the softmax function for the predicted distribution.",,,,,,,,,,
8,Turing-NLG,Corby Rosset,2020/02/13,2020,Turing-NLG: A 17-billion-parameter language model by Microsoft,,,https://www.microsoft.com/en-us/research/blog/turing-nlg-a-17-billion-parameter-language-model-by-microsoft/,1.70E+10,,1.57e+22,3.39,,,0.0,46400000000.0,1.60E+22,,46400000000.0,,10.21,,,0.5,1.0,0,0,Transformer,NLG,,,,,1,?,?,,,,,,,,,,,
9,TrellisNet,"Shaojie Bai, J. Zico Kolter, Vladlen Koltun",2018/10/15,2018,Trellis Networks for Sequence Modeling,132.0,,https://arxiv.org/abs/1810.06682,1.80E+08,,,25,,,0.0,103000000.0,2.78E+18,0.0,103000000.0,WikiText-103,29.19,,,0.0,1.0,0,0,Recurrent/Convolutional,TrellisNet,https://github.com/locuslab/trellisnet,,,,1,word-level,268000,"Architecture: Trellis Networks, a new architecture for sequence modeling. It's a temporal convolutional network (TCN) with weight tying across depth and direct injection of the input into deep layers.  It can also generalize truncated recurrent networks with special sparsity structure.; Optimizer: SGD and Adam are used, depending on the experiment; LR Schedule: Learning rate is decayed by a fixed factor once validation error plateaus or according to a fixed schedule; Training: LSTM gating used, truncate backpropagation through time; Regularization: Weight tying across layers is a form of regularization., Variational dropout, Recurrent DropConnect, Weight Normalization, L1 regularization; Initialization: Input layer of TrellisNet initializes to z(0) = 0.; Other: Auxiliary losses at intermediate layers, Larger kernels and dilated convolutions, Parallelism - leveraging the parallel processing in the convolution operation, History compression and repackaging",,,,,,,,,,
10,TrellisNet-MoS (1.4x larger),"Shaojie Bai, J. Zico Kolter, Vladlen Koltun",2018/10/15,2018,Trellis Networks for Sequence Modeling,132.0,,https://arxiv.org/abs/1810.06682,1.80E+08,,,25,,,0.0,103000000.0,2.78E+18,0.0,103000000.0,Penn TreeBank,29.19,,54.19,0.0,1.0,0,0,Recurrent/Convolutional,TrellisNet,https://github.com/locuslab/trellisnet,,,,1,word-level,268000,"Architecture: Trellis Network.  A temporal convolutional network with special structure, characterized by weight tying across depth and direct injection of the input into deep layers. Generalizes truncated recurrent networks.; Optimizer: SGD for word-level PTB, Adam for Word-level WikiText-103 and character level PTB, and (P)MNIST/CIFAR-10; LR Schedule: Decay the learning rate by a fixed factor once validation error plateaus.; Training: Truncated backpropagation-through-time (BPTT), Deep supervision, Parallelism; Attention: Not applicable; Regularization: Weight tying across layers, Variational dropout (VD), Weight dropout, Weight Normalization; Initialization: Not mentioned; Other: Gated activation based on LSTM cell, Larger kernels and dilated convolutions, Mixed group convolutions, History repackaging",,,,,,,,,,
11,Transformer-XL Large,"Zihang Dai, Zhilin Yang, Yiming Yang, Jaime Carbonell, Quoc V. Le, Ruslan Salakhutdinov",2019/01/09,2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,3155.0,,https://arxiv.org/abs/1901.02860,2.57E+08,,1.09e+19,UNK,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,18.3,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/kimiyoung/,,,,1,word-level,260000,"Architecture: Transformer-XL, a deep self-attention network with a segment-level recurrence mechanism. The recurrence mechanism reuses hidden states from previous segments as memory for the current segment. The key and value matrices are conditioned on the extended context, which are the hidden states from the previous segment.; Optimizer: Not explicitly mentioned in the provided text. The original paper should be consulted for this information.; LR Schedule: Not explicitly mentioned in the provided text. The original paper should be consulted for this information.; Training: Stop-gradient for the hidden states being reused as memory.; Attention: Multi-head self-attention. The key and value matrices are conditioned on the extended context, which are the hidden states from the previous segment. The paper uses relative positional encodings instead of absolute ones. The attention score is decomposed into four intuitive terms (content-based addressing, content-dependent positional bias, global content bias, and global positional bias).; Regularization: Variational dropout and weight averaging mentioned in relation to performance on Penn Treebank, however it is unknown if these were used on all training runs; Special Algorithms: Segment-level recurrence mechanism, Relative positional encoding scheme; Initialization: Not explicitly mentioned in the provided text.; Other: Masked Softmax",,,,,,,,,,
12,Transformer-XL-ptb,"Zihang Dai, Zhilin Yang, Yiming Yang, Jaime Carbonell, Quoc V. Le, Ruslan Salakhutdinov",2019/01/09,2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,3155.0,,https://arxiv.org/abs/1901.02860,2.57E+08,,1.09e+19,UNK,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,Penn TreeBank,,,54.52,1.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/kimiyoung/,,,,1,word-level,10000,"Architecture: Transformer-XL: enables learning dependency beyond a fixed length with a segment-level recurrence mechanism and a novel positional encoding scheme.  It's a deep self-attention network where hidden states from previous segments are reused as memory for the current segment.; Optimizer: Not explicitly mentioned in the document. Further research may be required to locate the specific optimizer utilized.; LR Schedule: Not explicitly mentioned in the document. Further research may be required to locate the specific learning rate schedule utilized.; Training: Caching hidden states from previous segments, stop-gradient; Attention: Self-attention with relative positional encodings. Includes content-based addressing, content-dependent positional bias, global content bias, and global positional bias; Regularization: dropout, weight average; Special Algorithms: Segment-level recurrence, Relative positional encoding formulation; Initialization: Not mentioned explicitly, though better initialization for RNNs is mentioned in the related work.; Other: Truncated BPTT-like behavior due to recurrence scheme",,,,,,,,,,
13,NoPos,"Adi Haviv, Ori Ram, Ofir Press, Peter Izsak, Omer Levy",2022/03/30,2022,Transformer Language Models without Positional Encodings Still Learn Positional Information,30.0,,https://arxiv.org/abs/2203.16634,1.30E+09,,,199.92,,,0.0,103000000.0,1.61E+20,0.0,103000000.0,The Pile (Subset),20.97,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/adihaviv/NoPos,,,,1,word-level,267000,"Architecture: Transformer, using Transformer-XL as base model; Optimizer: Nesterov accelerated gradient (NAG) for WikiText-103 and Adam for The Pile.; LR Schedule: Warmup steps followed by unspecified decay. The peak learning rate and warmup steps are described in the table 5.; Training: Dropout, Adaptive embedding (for WikiText-103 experiment); Attention: Multi-head attention with varying number of heads according to the model size. 8 attention heads for WikiText-103 experiment; Regularization: Dropout, Weight Decay; Initialization: Not mentioned explicitly in the paper; Other: Causal attention mask",,,,,,,,,,
14,Chinchilla,"Jordan Hoffmann, Sebastian Borgeaud, Arthur Mensch, Elena Buchatskaya, Trevor Cai, Eliza Rutherford, Diego de Las Casas, Lisa Anne Hendricks, Johannes Welbl, Aidan Clark, Tom Hennigan, Eric Noland, Katie Millican, George van den Driessche, Bogdan Damoc, Aurelia Guy, Simon Osindero, Karen Simonyan, Erich Elsen, Jack W. Rae, Oriol Vinyals, Laurent Sifre",2022/03/29,2022,Training Compute-Optimal Large Language Models,136.0,,https://arxiv.org/abs/2203.15556,7.00E+10,,5.76e+23,1,,,0.0,1400000000000.0,5.88E+23,0.0,1400000000000.0,WikiText-103,7.16,,,1.0,1.0,0,0,Transformer,GPT,,,,,1,SentencePiece,32000,Architecture: Transformer; Optimizer: AdamW; LR Schedule: cosine schedule; Attention: Multi-head Attention; Regularization: Decoupled weight decay regularization (via AdamW); Initialization: Not explicitly mentioned,,,,,,,,,,
15,"ALiBi (L=3072, Lvalid = 3072)","Ofir Press, Noah A. Smith, Mike Lewis",2021/08/27,2021,"Train Short, Test Long: Attention with Linear Biases Enables Input Length Extrapolation",124.0,,https://arxiv.org/abs/2108.12409,1.30E+09,,1.8e+20,205,,,0.0,103000000.0,1.65E+20,0.0,103000000.0,WikiText-103,18.3,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/ofirpress/attention_with_linear_biases,,,,1,BERT,29000,"Architecture: Transformer with 16 or 25 transformer layers with a dimension of 1024 or 2048, 8 or 16 heads, and a feedforward inner dimension of 4096 or 8192. Ties the word embedding and softmax matrices.; Optimizer: Not mentioned; LR Schedule: Not mentioned; Training: Causal Masking, Nonoverlapping Inference, Sliding Window Inference; Attention: Multi-head attention with 8 or 16 heads.; Special Algorithms: Attention with Linear Biases (ALiBi): biases query-key attention scores with a penalty that is proportional to their distance. The bias is: softmax(qK + m · [−(i - 1), ..., -2, -1, 0]), where scalar m is a head-specific slope fixed before training.; Initialization: Not mentioned; Other: Head-specific slopes in ALiBi are a geometric sequence. Slopes are not trainable.",,,,,,,,,,
16,Integer Transformer,"Ye Lin, Yanyang Li, Tengbo Liu, Tong Xiao, Tongran Liu, Jingbo Zhu",2020/09/17,2020,Towards Fully 8-bit Integer Inference for the Transformer Model,26.0,,https://arxiv.org/pdf/2009.08034,5.97E+07,,,,,,0.0,103000000.0,0.00E+00,,103000000.0,,18.16,,,0.0,1.0,0,0,Transformer,,,,,,1,,32000,"Architecture: Transformer with 6-layer encoder and 6-layer decoder in both base and big settings.; Optimizer: Adam with β₁ = 0.9 and β₂ = 0.997; LR Schedule: Inverse square root learning rate schedule with 8K warmup steps. Learning rate = 0.001/0.0007 for Transformer-base/big.; Training: Scale Propagation, Integer Transformer, de-quantization when necessary, Re-scaling; Attention: Self-attention takes three tensors, Q, K and V, as inputs and produces a tensor with the same size as the output, Attention(Q, K, V) = SoftMax(QKT/√dm)V, standard attention replaced by polynomial attention, PolyAttn(Q, K, V) = Poly(QK^T)V/ΣjPoly(QK^T); Special Algorithms: Scale Propagation, Polynomial Attention, Scale Matching, Integer Transformer; Initialization: The scale is initialized through s = max(|r|) initially, where r is the network input.; Other: L1 Layer Normalization, approximates the standard deviation with its L1-norm equivalent",,,,,,,,,,
17,Integer Transformer,"Ye Lin, Yanyang Li, Tengbo Liu, Tong Xiao, Tongran Liu, Jingbo Zhu",2020/09/17,2020,Towards Fully 8-bit Integer Inference for the Transformer Model,26.0,,https://arxiv.org/pdf/2009.08034,2.47E+08,,,,,,0.0,103000000.0,0.00E+00,,103000000.0,,30.79,,,0.0,1.0,0,0,Transformer,,,,,,1,,32000,"Architecture: Transformer with 6-layer encoder and 6-layer decoder for base setting, and 6/16 layers for lm-base/big. Replaces the exponential function in the standard attention by the polynomial function, and replace the square root function in the layer normalization with the absolute value function.; Optimizer: Adam with β₁ = 0.9 and β₂ = 0.997. Nesterov's accelerated gradient for lm-big training.; LR Schedule: Inverse square root learning rate schedule with 8K warmup steps. Cosine learning rate schedule with 16K warmup steps for lm-big training.; Attention: Polynomial Attention; Special Algorithms: Scale Propagation; Other: L1 Layer Normalization",,,,,,,,,,
18,TaLK Convolution,"Vasileios Lioutas, Yuhong Guo",2020/02/08,2020,Time-aware Large Kernel Convolutions,24.0,,https://arxiv.org/abs/2002.03184,2.40E+08,,,187.43,,,0.0,103000000.0,2.78E+19,0.0,103000000.0,WikiText-103,23.3,,,0.0,1.0,0,0,Convolutional,Transformer,https://github.com/lioutasb/TaLKConvolutions,,,,1,,260000,"Architecture: TaLK Convolution: adaptive convolution operation that learns to predict the size of a summation kernel instead of using a fixed-sized kernel matrix. Uses depthwise version by separating feature channels into multiple groups, each of which shares the same pair of left and right offsets.; Optimizer: Adam optimizer with default values; LR Schedule: Cosine learning rate schedule with linear warm-up for 10K steps from 10^-7 to 10^-3. Inverse square root learning rate schedule for IWSLT De-En.; Training: Gated Linear Unit (GLU), fast Parallel Prefix Sum to compute the integral image; Attention: Not Applicable; Regularization: Output normalization, Offsets Dropout with probability p during training; Special Algorithms: Time-aware Large Kernel Convolutions (TaLK), adaptive convolution based on summation kernel; Initialization: Not mentioned; Other: Used Swish activation functions instead of ReLU",,,,,,,,,,
19,VRNS-RNN-3-3-5,"Brian DuSell, David Chiang",2022/10/04,2022,The Surprising Computational Power of Nondeterministic Stack RNNs,1.0,1.0,https://arxiv.org/pdf/2210.01343,1.50E+06,,,,,,1.0,929000.0,0.00E+00,,929000.0,,,,120.12,0.0,1.0,0,1,Recurrent,RNN,,,,,1,?,?,"Architecture: LSTM controller connected to a differentiable stack.; Optimizer: SGD; LR Schedule: Divided the learning rate by 1.5 whenever validation perplexity did not improve after an epoch.; Training: truncated backpropagation through time (BPTT); Special Algorithms: VRNS-RNN; Initialization: Fully-connected layers (except those in LSTM) used Xavier uniform initialization, other parameters initialized uniformly.; Other: incremental execution technique (limits non-zero entries in tensors).",,,,,,,,,,
20,GPT3-6.7B (rerun of original),"Greg Yang, Edward J. Hu, Igor Babuschkin, Szymon Sidor, Xiaodong Liu, David Farhi, Nick Ryder, Jakub Pachocki, Weizhu Chen, Jianfeng Gao",2020/05/28,2020,Tensor Programs V: Tuning Large Neural Networks via Zero-Shot Hyperparameter Transfer,37.0,,https://web.archive.org/web/20221014063419/https://arxiv.org/pdf/2203.03466.pdf,6.70E+09,,1.2e+22,1,,,0.0,499000000000.0,2.01E+22,,499000000000.0,,9.13,,,1.0,1.0,0,0,Transformer,GPT,https://github.com/microsoft/mup,,,,1,custom,?,"Architecture: Transformer; Optimizer: Adam; LR Schedule: See Table 2 for transferable LR schedules; Attention: multi-head attention; Regularization: dropout, weight decay; Special Algorithms: Maximal Update Parametrization (µP); Initialization: LeCun initialization",,,,,,,,,,
21,GPT3-6.7B + muP,"Greg Yang, Edward J. Hu, Igor Babuschkin, Szymon Sidor, Xiaodong Liu, David Farhi, Nick Ryder, Jakub Pachocki, Weizhu Chen, Jianfeng Gao",2022/03/07,2022,Tensor Programs V: Tuning Large Neural Networks via Zero-Shot Hyperparameter Transfer,37.0,,https://web.archive.org/web/20221014063419/https://arxiv.org/pdf/2203.03466.pdf,6.70E+09,4.99E+11,1.28e+22,1,,,0.0,499000000000.0,2.01E+22,103000000.0,499000000000.0,,8.56,,,1.0,1.0,0,0,Transformer,GPT,https://github.com/microsoft/mup,,,,1,custom,?,"Architecture: Transformer; Optimizer: Adam; LR Schedule: Linear decay (modified), StepLR, cosine annealing, constant, inverse square-root decay are used for experiments; Attention: Relative attention (compared to absolute attention used in original GPT3 paper); Special Algorithms: Maximal Update Parametrization (µP), µTransfer; Initialization: LeCun Initialization, Glorot initialization is also mentioned",,,,,,,,,,
22,Subformer (83M),"Machel Reid, Edison Marrese-Taylor, Yutaka Matsuo",2021/01/01,2021,Subformer: Exploring Weight Sharing for Parameter Efficiency in Generative Transformers,12.0,,https://arxiv.org/abs/2101.00234,8.30E+07,,,70.29,,,0.0,103000000.0,3.61E+18,0.0,103000000.0,WikiText-103,20.88,,,0.0,1.0,0,0,Transformer,Subformer,https://github.com/machelreid/subformer,,,,1,,260000,"Architecture: Transformer-based architecture with two novel techniques: (1) SAFE (Self-Attentive Factorized Embeddings) and (2) Sandwich-style Parameter Sharing. The Subformer consists of an embedding layer, model layers, a sandwich module and projection layers. The embedding and sandwiched layers can have different dimensions than the model layer.; Optimizer: Adam with hyper-parameters β = (0.9, 0.999) and € = 10-6; LR Schedule: Warm up the learning rate to a peak of 5 × 10-4 within 10K iterations and then decay the learning rate with the inverse square root schedule.  In the Language Modeling experiments, the optimizer used is Nesterov's accelerated gradient optimizer, warming up the learning rate to 1.0 for 16K iterations, and then annealing for 270K iterations using a cosine annealing schedule.; Training: mixed precision; Attention: The SAFE technique uses a small self-attention layer to reduce embedding parameter count.; Regularization: dropout, weight decay, label-smoothed cross entropy loss; Special Algorithms: SAFE (Self-Attentive Factorized Embeddings), Sandwich-style Parameter Sharing; Initialization: Same weight initialization scheme as BERT, sampling weights from N (0, 0.02), initializing biases to zero and setting layer normalization parameters β and γ to be 0 and 1, respectively.",,,,,,,,,,
